subject_id,T2_1 Set scale (0.5 cm): pixel_length,T2_1 Set scale (0.5 cm): x1,T2_1 Set scale (0.5 cm): x2,T2_1 Set scale (0.5 cm): y1,T2_1 Set scale (0.5 cm): y2,T2_1 Tegula length: length cm,T2_1 Tegula length: pixel_length,T2_1 Tegula length: x1,T2_1 Tegula length: x2,T2_1 Tegula length: y1,T2_1 Tegula length: y2,T3_1 Were you able to measure the bee?,genus,catalogNumber,scientificName,specificEpithet,originalFilename,subspecificEpithet
75817316,247.0,1997,2244,592,593,0.14,67.03,1939,1941,1399,1332,Yes,Hesperapis,EMEC1325904,Hesperapis arenicola,arenicola,EMEC1325904 Hesperapis arenicola.jpg,
75817317,251.01,1997,2248,578,580,0.1,51.09,2021,2018,1418,1367,No,Hesperapis,EMEC1325905,Hesperapis arenicola,arenicola,EMEC1325905 Hesperapis arenicola.jpg,
75817318,246.0,2197,2443,589,590,0.08,39.12,2030,2033,1368,1329,Yes,Hesperapis,EMEC1325906,Hesperapis arenicola,arenicola,EMEC1325906 Hesperapis arenicola.jpg,
75817319,244.0,2002,2246,586,585,0.08,41.11,2045,2042,1320,1361,No,Hesperapis,EMEC1325907,Hesperapis arenicola,arenicola,EMEC1325907 Hesperapis arenicola.jpg,
75817320,251.53,1971,2219,892,934,0.19,96.32,2008,2102,1388,1409,No,Hesperapis,EMEC1325908,Hesperapis arenicola,arenicola,EMEC1325908 Hesperapis arenicola.jpg,
75817321,117.07,1907,2024,697,693,0.23,53.04,2053,2055,1350,1403,Yes,Hesperapis,EMEC1325909,Hesperapis arenicola,arenicola,EMEC1325909 Hesperapis arenicola.jpg,
75817322,251.01,2094,2345,575,577,0.02,9.43,2045,2040,1362,1354,No,Hesperapis,EMEC1325910,Hesperapis arenicola,arenicola,EMEC1325910 Hesperapis arenicola.jpg,
75817323,192.01,2005,2197,592,590,0.14,52.24,1970,1965,1349,1297,No,Hesperapis,EMEC1325911,Hesperapis arenicola,arenicola,EMEC1325911 Hesperapis arenicola.jpg,
75817324,247.02,1997,2244,594,591,0.05,24.0,2041,2041,1375,1351,Yes,Hesperapis,EMEC1325912,Hesperapis arenicola,arenicola,EMEC1325912 Hesperapis arenicola.jpg,
75817325,249.0,1995,2244,593,593,0.06,28.07,1991,1989,1379,1407,Yes,Hesperapis,EMEC1325913,Hesperapis arenicola,arenicola,EMEC1325913 Hesperapis arenicola.jpg,
75817326,248.0,1974,2222,826,827,0.27,131.55,2081,2069,1351,1482,Yes,Hesperapis,EMEC1325914,Hesperapis arenicola,arenicola,EMEC1325914 Hesperapis arenicola.jpg,
75817327,278.06,1973,2251,736,730,0.16,91.09,2021,2025,1315,1406,Yes,Hesperapis,EMEC1325952,Hesperapis arenicola,arenicola,EMEC1325952 Hesperapis arenicola.jpg,
75817328,290.03,1918,2208,744,748,0.09,54.01,1992,1993,1373,1319,No,Hesperapis,EMEC1325953,Hesperapis arenicola,arenicola,EMEC1325953 Hesperapis arenicola.jpg,
75817329,250.01,1996,2246,588,590,0.05,24.19,1989,1992,1371,1395,Yes,Hesperapis,EMEC1325954,Hesperapis arenicola,arenicola,EMEC1325954 Hesperapis arenicola.jpg,
75817330,318.63,2145,2463,909,889,0.19,122.38,2032,2152,1451,1475,Yes,Hesperapis,EMEC1325955,Hesperapis arenicola,arenicola,EMEC1325955 Hesperapis arenicola.jpg,
75817331,149.0,2002,2151,566,565,0.21,61.98,1920,1931,1410,1349,Yes,Hesperapis,EMEC1325956,Hesperapis arenicola,arenicola,EMEC1325956 Hesperapis arenicola.jpg,
75817332,247.01,2001,2248,580,582,0.16,77.01,2002,2001,1310,1387,Yes,Hesperapis,EMEC1325957,Hesperapis arenicola,arenicola,EMEC1325957 Hesperapis arenicola.jpg,
75817333,147.0,2052,2199,593,592,0.23,67.03,2055,2057,1423,1356,Yes,Hesperapis,EMEC1325958,Hesperapis arenicola,arenicola,EMEC1325958 Hesperapis arenicola.jpg,
75817334,249.0,1997,2246,591,590,0.05,23.09,2040,2038,1421,1398,Yes,Hesperapis,EMEC1325959,Hesperapis arenicola,arenicola,EMEC1325959 Hesperapis arenicola.jpg,
75817335,248.0,1951,2199,589,588,0.02,9.22,2026,2028,1382,1373,No,Hesperapis,EMEC1325960,Hesperapis arenicola,arenicola,EMEC1325960 Hesperapis arenicola.jpg,
75817336,274.0,1956,2230,609,608,0.08,42.0,1985,1985,1314,1356,Yes,Hesperapis,EMEC1325961,Hesperapis arenicola,arenicola,EMEC1325961 Hesperapis arenicola.jpg,
75817337,245.02,1952,2197,566,563,0.17,83.1,2015,2011,1307,1390,Yes,Hesperapis,EMEC1325962,Hesperapis arenicola,arenicola,EMEC1325962 Hesperapis arenicola.jpg,
75817338,253.01,1994,2247,596,598,0.05,23.54,2018,2023,1368,1391,No,Hesperapis,EMEC1325963,Hesperapis arenicola,arenicola,EMEC1325963 Hesperapis arenicola.jpg,
75817339,252.02,2000,2252,575,572,0.18,88.57,2009,2019,1319,1407,Yes,Hesperapis,EMEC1325964,Hesperapis arenicola,arenicola,EMEC1325964 Hesperapis arenicola.jpg,
75817340,335.04,1957,2292,739,744,0.01,4.12,2064,2060,1351,1350,Yes,Hesperapis,EMEC1325965,Hesperapis arenicola,arenicola,EMEC1325965 Hesperapis arenicola.jpg,
