subject_id,T1_1 Country,T1_1 County,T1_1 State/Province,T3_1 Locality,T4_1 Other Notes,T6_1 Collector,T8_1 Begin Month,T9_1 Begin Day,T10_1 Begin Year,T13_1 End Month,T14_1 End Day,T15_1 End Year,T19_1 Associated Plant or Plant Host,T20_1 Trap Type,T21_1 Determined By (Det. as),T22_1 Date of Determination,T23_1 Sex,T26_1 Elevation,Filename
81431001,United States of America,Los Angeles,California,Crater Camp StaMonica Mts.,Andrena (Melandrena) cerasifolii; U.C.L.A.Coll. Accessioned L.A.C.M. 1965; Andrena (Melandrena) cerasifolii Ckll.,J. Pumphrey,3 - March - III,2,1957,,,,,,W. E. LaBerge,2 / III / 1957,,,LACMENT268510_had_lbs.jpg
81431005,United States of America,Los Angeles,California,Tapia Park,,J. Dittmar,5 - May - V,12,1962,,,,,,Bouseman & LaB.,12 / May / 1962,,,LACMENT268511_“had_lbs”.jpg
81431007,United States of America,Los Angeles,California,Sta. Monica Mts.,Andrena (Oligandrena) macrocephala. U.C.L.A. COLL. Accessioned L.A.C.M. 1965. Andrena (Oligandrena) macrocephala Ckll.,Bimantoro,3 - March - III,21,1951,,,,,,W. E. LaBerge,,,,LACMENT268512_had_lbs.jpg
81431008,United States of America,Los Angeles,California,Las Flores Cyn.,Andrena (Pelicandrena) atypica; No. 636; Andrena (Pelicandrena) atypica (Cockerell),R.S. Erdmann,2 - February - II,18,1950,,,,On Ceanothus,,Ribble & La Berge,,,,LACMENT268513_had_lbs.jpg
81431010,United States of America,Los Angeles,California,"SM Cyn , Sta. Monica Mts.",Andrena (Plastandrena) prunorum prunorum; U.C.L.A.Coll. Accessioned L.A.C.M. 1965,A. Strong,3 - March - III,8,1957,,,,,,,,,,LACMENT268514_had_lbs.jpg
81431013,Uzbekistan,,,-Samarkand Aman-Kutan,Andrena (Melanapis) fuscosa; Andrena (Melanapis) fuscosa Erichs.,J. Niedl,Not shown,Not shown,Not shown,,,,,,J. Niedl,,,,LACMENT591626_had_lbs.jpg
81431014,Uzbekistan,,Samarkand,-Samarkand Aman-Kutan,Andrena (Melanapis) fuscosa; Andrena (Melanapis) fuscosa Erichs.; Raja ?,J. Niedl,Not shown,Not shown,Not shown,1 - January - I,,,,,Kocourek,,♂,,LACMENT591627_had_lbs.jpg
81431016,Unknown Country,,,Matruh,Andrena (Melandrena) albifacies; A. albifacies Afken; on grass,,3 - March - III,20,1972,,,,[illegible] in grass,,Moustafa,,,,LACMENT591628_had_lbs.jpg
81431019,Unknown Country,,,,Andrena (Melandrena) albifacies; Andrena albifacies Afken 1927; second image,,Not shown,Not shown,,,,,,,M. A. Moustafa,1927,,,LACMENT591628(2)_had_lbs.jpg
81431021,Unknown Country,,,Matruh,Andrena (Melandrena) albifacies; A. albifacies Alfken; on grass,,3 - March - III,19,1972,,,,Grass,,Moustafa,,,,LACMENT591629_had_lbs.jpg
