subject_id,classification_id,user_name,T2_1 Set scale (0.5 cm): x1,T2_1 Set scale (0.5 cm): x2,T2_1 Set scale (0.5 cm): y1,T2_1 Set scale (0.5 cm): y2,T2_1 Tegula length: x1,T2_1 Tegula length: x2,T2_1 Tegula length: y1,T2_1 Tegula length: y2,T3_1 Were you able to measure the bee?,catalogNumber,originalFileName,started_at,finished_at,gold_standard,expert,workflow_version
82151247,449339704,natetomberlin,2350,2741,1584,1581,2350,2722,1732,1731,Yes,LACM ENT 601591,LACM ENT 601591_had_lbs.jpg,07-Nov-2022 22:36:01,07-Nov-2022 22:41:28,,,1.1
82153833,449428597,Pri_B,3697,4148,712,714,4593,4585,1990,1783,Yes,LACM ENT 602032,LACM ENT 602032_had_lbs.jpg,08-Nov-2022 08:51:23,08-Nov-2022 08:52:25,,,1.1
82155262,449428724,Pri_B,2002,2443,801,800,2664,2845,1679,1675,Yes,LACM ENT 602265,LACM ENT 602265_had_lbs-2.jpg,08-Nov-2022 08:52:25,08-Nov-2022 08:53:12,,,1.1
82151808,449441885,Suem28,2006,2448,826,826,2605,3200,2100,2037,Yes,LACM ENT 601884,LACM ENT 601884_had_lbs.jpg,08-Nov-2022 10:59:27,08-Nov-2022 11:00:35,,,1.1
82151949,449441965,Suem28,1804,2246,853,851,2522,2716,1961,1962,Yes,LACM ENT 601897,LACM ENT 601897_had_lbs.jpg,08-Nov-2022 11:00:35,08-Nov-2022 11:01:21,,,1.1
82157341,449442026,Suem28,1526,1972,853,852,2281,2487,1950,1927,Yes,LACM_ENTB_5998,LACM_ENTB_5998_had_lbs.jpg,08-Nov-2022 11:01:21,08-Nov-2022 11:02:11,,,1.1
82156387,449466270,Suem28,1905,2318,812,810,2498,2821,1814,1806,Yes,LACM ENT 602635,LACM ENT 602635_had_lbs.jpg,08-Nov-2022 14:17:33,08-Nov-2022 14:18:20,,,1.1
82153904,449466469,Suem28,2000,2446,821,820,2855,3016,1795,1787,Yes,LACM ENT 602037,LACM ENT 602037_had_lbs.jpg,08-Nov-2022 14:18:20,08-Nov-2022 14:19:14,,,1.1
82155100,449466713,Suem28,1980,2428,813,813,2720,2900,1798,1799,Yes,LACM ENT 602230,LACM ENT 602230_had_lbs.jpg,08-Nov-2022 14:19:14,08-Nov-2022 14:20:00,,,1.1
82155229,449466894,Suem28,2000,2446,816,816,2896,3060,1822,1813,Yes,LACM ENT 602256,LACM ENT 602256_had_lbs-2.jpg,08-Nov-2022 14:20:00,08-Nov-2022 14:20:42,,,1.1
82152705,449467480,Suem28,2113,2564,723,718,3088,3281,1708,1714,Yes,LACM ENT 601940,LACM ENT 601940_had_lbs-2.jpg,08-Nov-2022 14:20:42,08-Nov-2022 14:22:28,,,1.1
82153403,449467772,Suem28,2322,2769,773,773,2958,3153,1904,1914,Yes,LACM ENT 601996,LACM ENT 601996_had_lbs.jpg,08-Nov-2022 14:22:28,08-Nov-2022 14:23:28,,,1.1
82155444,449467991,Suem28,1563,2001,777,777,2376,2530,1769,1764,Yes,LACM ENT 602300,LACM ENT 602300_had_lbs-2.jpg,08-Nov-2022 14:23:28,08-Nov-2022 14:24:06,,,1.1
82151513,449468283,Suem28,1485,1928,865,864,2159,2428,2181,2166,Yes,LACM ENT 601758,LACM ENT 601758_had_lbs.jpg,08-Nov-2022 14:24:07,08-Nov-2022 14:24:59,,,1.1
82154372,449468587,Suem28,2054,2466,760,758,2637,2801,1481,1476,Yes,LACM ENT 602084,LACM ENT 602084_had_lbs-2.jpg,08-Nov-2022 14:24:59,08-Nov-2022 14:25:52,,,1.1
82154688,449468812,Suem28,1506,1958,840,840,2281,2437,1767,1771,Yes,LACM ENT 602111,LACM ENT 602111_had_lbs-2.jpg,08-Nov-2022 14:25:53,08-Nov-2022 14:26:26,,,1.1
82152479,449469040,Suem28,3945,4396,825,819,4714,4731,1797,1995,Yes,LACM ENT 601930,LACM ENT 601930_had_lbs.jpg,08-Nov-2022 14:26:26,08-Nov-2022 14:27:13,,,1.1
82156310,449496705,Suem28,1930,2340,834,834,2598,2929,1808,1786,Yes,LACM ENT 602625,LACM ENT 602625_had_lbs.jpg,08-Nov-2022 16:27:57,08-Nov-2022 16:28:41,,,1.1
82155678,449496952,Suem28,2054,2465,750,748,2738,2894,1570,1567,Yes,LACM ENT 602348,LACM ENT 602348_had_lbs-2.jpg,08-Nov-2022 16:28:41,08-Nov-2022 16:29:46,,,1.1
82155768,449497105,Suem28,1994,2443,778,778,2693,2870,1481,1499,Yes,LACM ENT 602447,LACM ENT 602447_had_lbs.jpg,08-Nov-2022 16:29:46,08-Nov-2022 16:30:35,,,1.1
82151608,449497203,Suem28,1907,2354,847,845,2552,2777,1950,1967,Yes,LACM ENT 601803,LACM ENT 601803_had_lbs.jpg,08-Nov-2022 16:30:35,08-Nov-2022 16:31:08,,,1.1
82151673,449497365,Suem28,1872,2310,916,916,2438,3070,2132,2065,Yes,LACM ENT 601860,LACM ENT 601860_had_lbs.jpg,08-Nov-2022 16:31:09,08-Nov-2022 16:32:06,,,1.1
82155735,449497517,Suem28,1957,2395,789,792,2682,2807,1626,1629,Yes,LACM ENT 602350,LACM ENT 602350_had_lbs-2.jpg,08-Nov-2022 16:32:06,08-Nov-2022 16:32:54,,,1.1
82156454,449497718,Suem28,3503,3941,889,889,2859,3136,2206,2195,Yes,LACM ENT 602654,LACM ENT 602654_had_lbs.jpg,08-Nov-2022 16:32:54,08-Nov-2022 16:33:41,,,1.1
