subject_id,classification_id,user_name,T2_1 Set scale (0.5 cm): x1,T2_1 Set scale (0.5 cm): y1,T2_1 Set scale (0.5 cm): x2,T2_1 Set scale (0.5 cm): y2,T2_1 Tegula length: x1,T2_1 Tegula length: y1,T2_1 Tegula length: x2,T2_1 Tegula length: y2,T3_1 Were you able to measure the bee?,catalogNumber,originalFileName,started_at,finished_at,gold_standard,expert,workflow_version,keep
82424873,450330890,LauraAM,2724,1380,3157,1373,2615,2214,2879,2217,Yes,UCSB-IZC00042067,UCSB-IZC00042067_had_lbs.jpg,12-Nov-2022 08:13:04,12-Nov-2022 08:16:41,,,1.1,
82424963,450355512,Suem28,2034,614,2476,612,2845,1284,3020,1268,Yes,UCSB-IZC00044895,UCSB-IZC00044895_had_lbs.jpg,12-Nov-2022 12:55:37,12-Nov-2022 12:56:44,,,1.1,
82424857,450355560,Suem28,1756,839,2194,836,2591,1547,2838,1555,Yes,UCSB-IZC00040988,UCSB-IZC00040988_had_lbs.jpg,12-Nov-2022 12:56:44,12-Nov-2022 12:57:32,,,1.1,
82424773,450355608,Suem28,3327,748,3763,746,3340,1694,4086,1662,Yes,UCSB-IZC00033126,UCSB-IZC00033126_had_lbs.jpg,12-Nov-2022 12:57:32,12-Nov-2022 12:58:10,,,1.1,
82424761,450355645,Suem28,1965,231,2523,223,3530,1500,3546,1693,Yes,UCSB-IZC00030260,UCSB-IZC00030260_had_lbs.jpg,12-Nov-2022 12:58:10,12-Nov-2022 12:58:55,,,1.1,
82424740,450355671,Suem28,1760,728,2149,728,2391,2107,2672,2076,Yes,UCSB-IZC00010281,UCSB-IZC00010281_had_lbs.jpg,12-Nov-2022 12:58:55,12-Nov-2022 12:59:36,,,1.1,
82424955,450422229,not-logged-in-ce069285baa63e79aaec,2048,719,2453,718,2785,1972,3029,1936,Yes,UCSB-IZC00043703,UCSB-IZC00043703_had_lbs.jpg,12-Nov-2022 21:08:22,12-Nov-2022 21:13:19,,,1.1,
82424920,450422350,not-logged-in-ce069285baa63e79aaec,2052,871,2491,865,2595,1793,2848,1792,Yes,UCSB-IZC00042691,UCSB-IZC00042691_had_lbs.jpg,12-Nov-2022 21:13:19,12-Nov-2022 21:14:30,,,1.1,
82424846,450422462,not-logged-in-ce069285baa63e79aaec,2013,806,2456,805,3001,2445,2764,2468,No,UCSB-IZC00038935,UCSB-IZC00038935_had_lbs.jpg,12-Nov-2022 21:14:30,12-Nov-2022 21:15:33,,,1.1,
82424775,450422565,not-logged-in-ce069285baa63e79aaec,1815,776,2251,770,2527,2139,3042,2124,No,UCSB-IZC00033145,UCSB-IZC00033145_had_lbs.jpg,12-Nov-2022 21:15:33,12-Nov-2022 21:16:35,,,1.1,
82424791,450422678,not-logged-in-ce069285baa63e79aaec,1682,147,2075,145,2248,1123,2523,1110,No,UCSB-IZC00035557,UCSB-IZC00035557_had_lbs.jpg,12-Nov-2022 21:16:35,12-Nov-2022 21:17:40,,,1.1,
82424789,450422880,not-logged-in-ce069285baa63e79aaec,956,2367,951,1976,1556,1428,1851,1417,No,UCSB-IZC00035521,UCSB-IZC00035521_had_lbs.jpg,12-Nov-2022 21:17:40,12-Nov-2022 21:19:27,,,1.1,
82424802,450423008,not-logged-in-ce069285baa63e79aaec,1604,836,2042,830,2101,2136,2561,2133,No,UCSB-IZC00036531,UCSB-IZC00036531_had_lbs.jpg,12-Nov-2022 21:19:27,12-Nov-2022 21:20:28,,,1.1,
82424917,450423114,not-logged-in-ce069285baa63e79aaec,2204,611,2645,609,2755,1431,3026,1433,No,UCSB-IZC00042599,UCSB-IZC00042599_had_lbs.jpg,12-Nov-2022 21:20:28,12-Nov-2022 21:21:25,,,1.1,
82424913,450423180,not-logged-in-ce069285baa63e79aaec,1833,569,2272,568,2186,1299,2475,1287,Yes,UCSB-IZC00042588,UCSB-IZC00042588_had_lbs.jpg,12-Nov-2022 21:21:25,12-Nov-2022 21:22:05,,,1.1,
82424962,450423277,not-logged-in-ce069285baa63e79aaec,1646,768,2086,764,2270,1798,2655,1807,Yes,UCSB-IZC00044651,UCSB-IZC00044651_had_lbs.jpg,12-Nov-2022 21:22:05,12-Nov-2022 21:22:54,,,1.1,
82424863,450423366,not-logged-in-ce069285baa63e79aaec,2046,856,2486,854,2722,1973,2993,1980,Yes,UCSB-IZC00041821,UCSB-IZC00041821_had_lbs.jpg,12-Nov-2022 21:22:54,12-Nov-2022 21:23:36,,,1.1,
82424843,450423442,not-logged-in-ce069285baa63e79aaec,2027,762,2471,758,2349,1504,2621,1508,No,UCSB-IZC00038929,UCSB-IZC00038929_had_lbs.jpg,12-Nov-2022 21:23:36,12-Nov-2022 21:24:13,,,1.1,
82424947,450423702,not-logged-in-afebed156fee709e18fc,1769,809,2211,806,2406,2053,2672,2048,No,UCSB-IZC00042892,UCSB-IZC00042892_had_lbs.jpg,12-Nov-2022 21:24:13,12-Nov-2022 21:26:31,,,1.1,
82424871,450423787,not-logged-in-afebed156fee709e18fc,2092,819,2533,813,2679,1389,2930,1393,Yes,UCSB-IZC00042061,UCSB-IZC00042061_had_lbs.jpg,12-Nov-2022 21:26:31,12-Nov-2022 21:27:18,,,1.1,
82424742,450423891,not-logged-in-afebed156fee709e18fc,1636,773,2074,772,2199,1985,2451,1967,No,UCSB-IZC00010291,UCSB-IZC00010291_had_lbs.jpg,12-Nov-2022 21:27:18,12-Nov-2022 21:28:13,,,1.1,
82424935,450423977,not-logged-in-afebed156fee709e18fc,2103,735,2543,732,2984,1604,3273,1646,Yes,UCSB-IZC00042827,UCSB-IZC00042827_had_lbs.jpg,12-Nov-2022 21:28:13,12-Nov-2022 21:29:15,,,1.1,
82424761,450424072,not-logged-in-afebed156fee709e18fc,1962,231,2522,224,3497,1500,3513,1701,,UCSB-IZC00030260,UCSB-IZC00030260_had_lbs.jpg,12-Nov-2022 21:29:15,12-Nov-2022 21:30:11,,,1.1,
82424909,450424148,not-logged-in-afebed156fee709e18fc,2083,653,2523,651,2918,1915,3194,1877,No,UCSB-IZC00042578,UCSB-IZC00042578_had_lbs.jpg,12-Nov-2022 21:30:11,12-Nov-2022 21:31:02,,,1.1,
82424819,450424212,not-logged-in-afebed156fee709e18fc,2259,768,2700,765,3004,2047,3271,2037,No,UCSB-IZC00038684,UCSB-IZC00038684_had_lbs.jpg,12-Nov-2022 21:31:02,12-Nov-2022 21:31:38,,,1.1,
82424953,450424286,not-logged-in-afebed156fee709e18fc,1606,843,2041,841,2311,1968,2624,1970,No,UCSB-IZC00043619,UCSB-IZC00043619_had_lbs.jpg,12-Nov-2022 21:31:39,12-Nov-2022 21:32:24,,,1.1,
82424960,450424421,not-logged-in-afebed156fee709e18fc,1934,807,2369,807,2424,2034,2692,2040,Yes,UCSB-IZC00044259,UCSB-IZC00044259_had_lbs.jpg,12-Nov-2022 21:32:24,12-Nov-2022 21:33:32,,,1.1,
82424748,450424573,not-logged-in-afebed156fee709e18fc,1729,742,2121,739,2255,2045,2536,2038,No,UCSB-IZC00010520,UCSB-IZC00010520_had_lbs.jpg,12-Nov-2022 21:33:32,12-Nov-2022 21:34:35,,,1.1,
82424750,450425247,not-logged-in-83e02a75f06e7e44a23a,2321,893,2761,892,2898,1658,3162,1643,Yes,UCSB-IZC00022225,UCSB-IZC00022225_had_lbs.jpg,12-Nov-2022 21:34:35,12-Nov-2022 21:39:57,,,1.1,
82424941,450425338,not-logged-in-83e02a75f06e7e44a23a,2068,816,2507,813,2424,2009,2686,2005,No,UCSB-IZC00042848,UCSB-IZC00042848_had_lbs.jpg,12-Nov-2022 21:39:57,12-Nov-2022 21:40:36,,,1.1,
82424776,450425472,not-logged-in-83e02a75f06e7e44a23a,1673,813,2109,814,2384,1458,2779,1421,No,UCSB-IZC00033150,UCSB-IZC00033150_had_lbs.jpg,12-Nov-2022 21:40:36,12-Nov-2022 21:41:39,,,1.1,
82424765,450425552,not-logged-in-83e02a75f06e7e44a23a,2116,221,2673,223,3553,1821,3557,2066,Yes,UCSB-IZC00030770,UCSB-IZC00030770_had_lbs.jpg,12-Nov-2022 21:41:39,12-Nov-2022 21:42:37,,,1.1,
82424887,450455154,LauraAM,2276,782,2721,776,3156,1411,3457,1432,Yes,UCSB-IZC00042099,UCSB-IZC00042099_had_lbs.jpg,13-Nov-2022 01:22:24,13-Nov-2022 01:23:54,,,1.1,
82424921,450455367,LauraAM,2063,783,2506,784,2638,2142,2925,2141,No,UCSB-IZC00042782,UCSB-IZC00042782_had_lbs.jpg,13-Nov-2022 01:23:54,13-Nov-2022 01:25:50,,,1.1,
82424745,450455441,LauraAM,1728,404,2128,412,2744,1725,3069,1695,Yes,UCSB-IZC00010417,UCSB-IZC00010417_had_lbs.jpg,13-Nov-2022 01:25:50,13-Nov-2022 01:26:37,,,1.1,
82424828,450455494,LauraAM,2319,809,2764,811,2970,2115,3280,2101,Yes,UCSB-IZC00038890,UCSB-IZC00038890_had_lbs.jpg,13-Nov-2022 01:26:37,13-Nov-2022 01:27:12,,,1.1,
82424751,450455591,LauraAM,2305,772,2751,777,2973,1358,3281,1302,Yes,UCSB-IZC00022226,UCSB-IZC00022226_had_lbs.jpg,13-Nov-2022 01:27:12,13-Nov-2022 01:28:05,,,1.1,
82424877,450455687,LauraAM,1798,729,2204,728,2300,1855,2569,1833,Yes,UCSB-IZC00042078,UCSB-IZC00042078_had_lbs.jpg,13-Nov-2022 01:28:05,13-Nov-2022 01:28:44,,,1.1,
82424855,450455789,LauraAM,1625,795,2064,800,2157,1626,2458,1690,Yes,UCSB-IZC00040436,UCSB-IZC00040436_had_lbs.jpg,13-Nov-2022 01:28:44,13-Nov-2022 01:29:28,,,1.1,
82424954,450455862,LauraAM,2097,881,2535,889,2684,2039,2986,2040,Yes,UCSB-IZC00043675,UCSB-IZC00043675_had_lbs.jpg,13-Nov-2022 01:29:28,13-Nov-2022 01:30:01,,,1.1,
82424821,450461612,dearmstrong,2305,773,2738,767,2868,1503,3121,1494,No,UCSB-IZC00038691,UCSB-IZC00038691_had_lbs.jpg,13-Nov-2022 02:30:49,13-Nov-2022 02:31:22,,,1.1,
82424885,450461681,dearmstrong,2111,438,2549,433,3169,1604,3445,1614,Yes,UCSB-IZC00042090,UCSB-IZC00042090_had_lbs.jpg,13-Nov-2022 02:31:22,13-Nov-2022 02:31:52,,,1.1,
82424839,450461736,dearmstrong,2146,804,2578,801,2752,2162,3024,2141,Yes,UCSB-IZC00038914,UCSB-IZC00038914_had_lbs.jpg,13-Nov-2022 02:31:52,13-Nov-2022 02:32:18,,,1.1,
82424877,450461802,dearmstrong,1797,746,2203,741,2568,1841,2313,1858,Yes,UCSB-IZC00042078,UCSB-IZC00042078_had_lbs.jpg,13-Nov-2022 02:32:18,13-Nov-2022 02:32:52,,,1.1,
82424878,450461884,dearmstrong,2261,784,2698,782,2782,1613,2520,1603,No,UCSB-IZC00042080,UCSB-IZC00042080_had_lbs.jpg,13-Nov-2022 02:32:52,13-Nov-2022 02:33:27,,,1.1,
82424812,450461966,dearmstrong,2287,866,2721,862,3012,2180,3276,2199,No,UCSB-IZC00038661,UCSB-IZC00038661_had_lbs.jpg,13-Nov-2022 02:33:27,13-Nov-2022 02:34:03,,,1.1,
82424931,450462011,dearmstrong,2078,644,2514,642,2786,1739,2515,1757,Yes,UCSB-IZC00042818,UCSB-IZC00042818_had_lbs.jpg,13-Nov-2022 02:34:03,13-Nov-2022 02:34:28,,,1.1,
82424749,450462070,dearmstrong,2049,754,2516,750,2879,2088,3540,2079,Yes,UCSB-IZC00012185.,UCSB-IZC00012185._had_lbs.jpg,13-Nov-2022 02:34:28,13-Nov-2022 02:34:56,,,1.1,
82424819,450462145,dearmstrong,2259,783,2700,774,3275,2047,3004,2053,Yes,UCSB-IZC00038684,UCSB-IZC00038684_had_lbs.jpg,13-Nov-2022 02:34:56,13-Nov-2022 02:35:28,,,1.1,
82424902,450462436,dearmstrong,1759,737,2197,735,2532,2131,2790,2124,,UCSB-IZC00042552,UCSB-IZC00042552_had_lbs.jpg,13-Nov-2022 02:35:29,13-Nov-2022 02:38:04,,,1.1,
82424964,450462506,dearmstrong,1710,847,2141,845,2285,1537,2622,1546,Yes,UCSB-IZC00047043,UCSB-IZC00047043_had_lbs.jpg,13-Nov-2022 02:38:04,13-Nov-2022 02:38:48,,,1.1,
